,loop,window_size,num_layer,batch_size,epoch,score
21,21,24,3,35,149,0.0160238713384994
17,17,24,1,48,147,0.01672479386130969
27,27,48,2,47,126,0.016986087238829998
9,9,120,2,67,140,0.018372342701251102
28,28,120,2,76,141,0.01847767961314983
3,3,144,1,50,95,0.019127518934611645
8,8,96,2,83,149,0.020496188098978664
11,11,120,2,84,95,0.020508929171289006
19,19,168,1,63,87,0.020630963193252683
1,1,96,2,37,56,0.020968781899298645
4,4,72,3,53,116,0.021405501225187133
7,7,48,1,42,74,0.021438427824371806
0,0,24,2,51,53,0.02162052122487997
18,18,72,2,125,70,0.02178877856608273
23,23,168,2,123,119,0.021928248329398534
16,16,72,1,83,143,0.021955784883660574
29,29,72,3,48,64,0.022010530158877373
24,24,144,2,76,116,0.022146034706383943
15,15,24,2,36,53,0.02218203591182828
2,2,24,2,115,85,0.022239880623399384
5,5,72,1,120,145,0.022271734196692705
13,13,168,1,73,58,0.02230821366602969
20,20,72,1,59,56,0.022340186900045307
26,26,72,3,123,76,0.022374411621907106
14,14,168,3,49,147,0.022408311758449095
10,10,24,2,44,149,0.023323249304667115
22,22,72,1,121,60,0.02339117812613646
12,12,72,3,48,82,0.023888516053557397
25,25,48,3,103,54,0.024812093741881352
6,6,144,1,125,61,0.0284055832760512
